2011-06-03 12:47:49.907123
location	title	price	value	numBought	url
amarillo	American Laser Centers	49	355	170	http://www.groupon.com/deals/american-laser-centers-amarillo?c=all&amp;p=1
amarillo	Bandals Footwear	30	75	15	http://www.groupon.com/deals/bandals-amarillo?c=all&amp;p=1
harrisburg	$19 for $39 at Susquehanna Outfitters	19	39	223	http://www.groupon.com/deals/susquehanna-outfitters?c=all&amp;p=1
harrisburg	Hair We Are Salon &amp; Day Spa	40	80	126	http://www.groupon.com/deals/hair-we-are-salon-1?c=all&amp;p=1
harrisburg	Wakefield Valley Golf Club	59	119	3	http://www.groupon.com/deals/wakefield-valley-golf-and-conference-center?c=all&amp;p=1
harrisburg	Legendary Excursions	29	79	54	http://www.groupon.com/deals/legendary-excursions-harrisburg?c=all&amp;p=1
harrisburg	Absolute Carpet Care	69	150	112	http://www.groupon.com/deals/absolute-carpet-care-1?c=all&amp;p=1
inland-empire	$99 for $400 at trueBeauty Aesthetics	99	400	34	http://www.groupon.com/deals/truebeauty-aesthetics-inland-empire?c=all&amp;p=1
inland-empire	eUndies.com	12	25	49	http://www.groupon.com/deals/eundies-inland-empire?c=all&amp;p=1
inland-empire	4 Star Photo Booth	695	1395	12	http://www.groupon.com/deals/four-star-photobooth-inland-empire?c=all&amp;p=1
greater-toronto-area	C$30 for C$60 at Stonegrill on Winchester	30	60	526	http://www.groupon.com/deals/stonegrill-toronto-ca?c=all&amp;p=1
greater-toronto-area	Lincoln Motor Inn	55	130	18	http://www.groupon.com/deals/lincoln-motor-inn?c=all&amp;p=1
greater-toronto-area	Moments Day Spa	40	90	54	http://www.groupon.com/deals/moments-day-spa-toronto-can?c=all&amp;p=1
greater-toronto-area	Aradia Fitness	35	124	1005	http://www.groupon.com/deals/aradia-fitness-toronto-2?c=all&amp;p=1
greater-toronto-area	ESS Auto Couture &amp; Spa	19	55	724	http://www.groupon.com/deals/ess-custom-luxury-and-exotics?c=all&amp;p=1
greater-toronto-area	Pinnacle Restaurant	20	40	81	http://www.groupon.com/deals/pinnacle-restaurant?c=all&amp;p=1
greater-toronto-area	Sugar and Spice Bows Children's Boutique	17	35	61	http://www.groupon.com/deals/sugar-and-spice-bows-childrens-boutique?c=all&amp;p=1
greater-toronto-area	The Norsemen Restaurant	25	55	103	http://www.groupon.com/deals/norsemen-restaurant-1?c=all&amp;p=1
greater-toronto-area	Rihanna's LOUD Tour	76	150	250	http://www.groupon.com/deals/rihanna-air-canada-center?c=all&amp;p=1
jacksonville	$10 for $20 at 3 Sisters Chocolate	10	20	404	http://www.groupon.com/deals/three-sisters-chocolate-jacksonville-fla?c=all&amp;p=1
jacksonville	Gaylord Palms Resort	189	588	13	http://www.groupon.com/deals/gaylord-palms-resort-jacksonville?c=all&amp;p=1
jacksonville	Villa Zorayda	10	20	33	http://www.groupon.com/deals/villa-zorayda?c=all&amp;p=1
jacksonville	Daytona International Speedway	29	67	86	http://www.groupon.com/deals/daytona-international-speedway-jacksonville-1?c=all&amp;p=1
jacksonville	DiapersDirect.com	25	50	85	http://www.groupon.com/deals/diapers-direct-jacksonville?c=all&amp;p=1
jacksonville	Jacksonville Ice &amp; Sportsplex	5	12	830	http://www.groupon.com/deals/jacksonville-ice-and-sportsplex-2?c=all&amp;p=1
jacksonville	Dali Decals	20	50	55	http://www.groupon.com/deals/dali-decals-jacksonville-1?c=all&amp;p=1
jacksonville	CoastalContacts.com	19	60	52	http://www.groupon.com/deals/coastal-contacts-jacksonville?c=all&amp;p=1
jacksonville	OrigAudio	19	40	24	http://www.groupon.com/deals/origaudio-jacksonville?c=all&amp;p=1
jacksonville	Nutty Guys	10	25	130	http://www.groupon.com/deals/nutty-guys-jacksonville-2?c=all&amp;p=1
jacksonville	Jacksonville Vein Center at Cardiothoracic and Vascular Surgical Associates	99	550	242	http://www.groupon.com/deals/jacksonville-vein-center?c=all&amp;p=1
south-bend	$19 for $40 at Indiana Beach Amusement Resort	19	40	224	http://www.groupon.com/deals/indiana-beach-south-bend?c=all&amp;p=1
